 ip: 104.236.54.196, Порт: 8080, Страна: США(US), Анонимность: наивысшая, Тип: HTTP, Время отклика: 0.58, 
 ip: 203.202.248.35, Порт: 80, Страна: Бангладеш(BD), Анонимность: наивысшая, Тип: HTTPS, Время отклика: 13.48, 
 ip: 194.125.255.126, Порт: 3128, Страна: Россия(RU), Анонимность: наивысшая, Тип: HTTPS, Время отклика: 4.85, 
 ip: 195.178.33.86, Порт: 8080, Страна: Сербия(rs), Анонимность: низкая, Тип: HTTP, Время отклика: 5.78, 
 ip: 1.179.185.249, Порт: 8080, Страна: Австралия(AU), Анонимность: низкая, Тип: HTTP, Время отклика: 2.01, 
 ip: 91.217.42.4, Порт: 8080, Страна: Россия(RU), Анонимность: низкая, Тип: HTTP, Время отклика: 1.96, 
 ip: 182.253.34.30, Порт: 8080, Страна: Индонезия(ID), Анонимность: низкая, Тип: HTTP, Время отклика: 0.42, 
 ip: 95.31.29.209, Порт: 3128, Страна: Россия(RU), Анонимность: наивысшая, Тип: HTTP, Время отклика: 3.24, 
 ip: 186.250.96.77, Порт: 8080, Страна: Бразилия(BR), Анонимность: низкая, Тип: HTTP, Время отклика: 8.82, 
 ip: 41.94.8.6, Порт: 8000, Страна: Мозамбик(MZ), Анонимность: наивысшая, Тип: HTTP, Время отклика: 0.18, 
 ip: 212.200.23.18, Порт: 8080, Страна: Сербия(rs), Анонимность: низкая, Тип: HTTP, Время отклика: 1.34, 
 ip: 197.220.193.49, Порт: 8080, Страна: Замбия(ZM), Анонимность: наивысшая, Тип: HTTPS, Время отклика: 4.27, 
 ip: 178.32.218.91, Порт: 80, Страна: Франция(FR), Анонимность: наивысшая, Тип: HTTP, Время отклика: 0.15, 
 ip: 54.213.157.85, Порт: 80, Страна: США(US), Анонимность: наивысшая, Тип: HTTP, Время отклика: 0.35, 
 ip: 211.170.156.163, Порт: 80, Страна: Корея(KR), Анонимность: наивысшая, Тип: HTTP, Время отклика: 0.34, 
 ip: 157.7.137.74, Порт: 80, Страна: Япония(JP), Анонимность: наивысшая, Тип: HTTP, Время отклика: 0.31, 
 ip: 31.45.243.11, Порт: 80, Страна: Хорватия(HR), Анонимность: наивысшая, Тип: HTTP, Время отклика: 0.03, 
 ip: 119.97.146.152, Порт: 80, Страна: Китай(CN), Анонимность: низкая, Тип: HTTP, Время отклика: 0.14, 
 ip: 109.196.127.35, Порт: 8888, Страна: Польша(PL), Анонимность: низкая, Тип: HTTP, Время отклика: 0.83, 
 ip: 159.203.2.4, Порт: 80, Страна: США(US), Анонимность: наивысшая, Тип: HTTP, Время отклика: 0.13, 
 ip: 200.198.212.173, Порт: 80, Страна: Бразилия(BR), Анонимность: наивысшая, Тип: HTTP, Время отклика: 0.29, 
 ip: 88.149.221.35, Порт: 80, Страна: Италия(IT), Анонимность: высокая, Тип: HTTP, Время отклика: 0.07, 
 ip: 107.151.152.212, Порт: 80, Страна: США(US), Анонимность: наивысшая, Тип: HTTP, Время отклика: 0.17, 
 ip: 89.250.207.195, Порт: 80, Страна: Польша(PL), Анонимность: наивысшая, Тип: HTTP, Время отклика: 0.05, 
 ip: 177.43.72.251, Порт: 3128, Страна: Бразилия(BR), Анонимность: наивысшая, Тип: HTTPS, Время отклика: 1.45, 
 ip: 186.250.96.1, Порт: 8080, Страна: Бразилия(BR), Анонимность: низкая, Тип: HTTP, Время отклика: 5.78, 
 ip: 124.207.82.166, Порт: 8008, Страна: Китай(CN), Анонимность: низкая, Тип: HTTP, Время отклика: 1.6, 
 ip: 186.250.98.1, Порт: 8080, Страна: Бразилия(BR), Анонимность: низкая, Тип: HTTP, Время отклика: 6.58, 
 ip: 149.202.34.104, Порт: 3128, Страна: Германия(DE), Анонимность: высокая, Тип: HTTP, Время отклика: 0.15, 
 ip: 132.148.26.206, Порт: 80, Страна: США(US), Анонимность: наивысшая, Тип: HTTP, Время отклика: 0.18, 
